New ANM B-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0,0.26087,0.394737,0.440678,0.736111,0.730769,0.75,0.565217,0.483871,0.237288,0,0,0,0,0,0,0,0,0
5-10,0,0,0.211538,0.357798,0.567901,0.67052,0.75,0.670391,0.588571,0.48062,0.191919,0.0506329,0,0,0,0,0,0,0,0
10-15,0,0,0.108696,0.229885,0.478049,0.671233,0.663755,0.626263,0.524691,0.479167,0.208955,0.0625,0,0,0,0,0,0,0,0
15-20,0,0,0.194175,0.305699,0.472727,0.563877,0.589888,0.621622,0.549296,0.341463,0.129032,0,0,0,0,0,0,0,0,0
20-25,0,0.02,0.130435,0.255208,0.37037,0.544304,0.655556,0.452381,0.4,0.461538,0.25,0,0,0,0,0,0,0,0,0
25-30,0,0,0.148438,0.27673,0.430769,0.5375,0.34375,0.45,0,0,0,0,0,0,0,0,0,0,0,0
30-35,0,0,0.0806452,0.157407,0.333333,0.434783,0.333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0
35-40,0,0,0.0740741,0.125,0.217391,0.6,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0
40-45,0,0,0.0405405,0.0540541,0.272727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45-50,0,0,0.025,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0