New ANM R-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0,0.155556,0.352,0.467836,0.732323,0.75,0.773723,0.709251,0.463415,0.206349,0.016129,0,0,0,0,0,0,0,0
5-10,0,0.0123457,0.118343,0.349481,0.528662,0.680672,0.728213,0.683381,0.618658,0.400347,0.178414,0.0236842,0,0,0,0,0,0,0,0
10-15,0,0.011236,0.117647,0.326,0.487013,0.659145,0.636663,0.654589,0.577483,0.359855,0.196517,0.0592593,0,0,0,0,0,0,0,0
15-20,0,0.00806452,0.141643,0.29584,0.449052,0.597826,0.635359,0.590844,0.544492,0.384868,0.277487,0.0636364,0,0,0,0,0,0,0,0
20-25,0,0,0.0872642,0.27907,0.438763,0.534911,0.528642,0.484337,0.488789,0.354167,0.306122,0.142857,0,0,0,0,0,0,0,0
25-30,0,0,0.0831461,0.249315,0.330544,0.436803,0.495114,0.415205,0.349206,0.36,0.444444,0,0,0,0,0,0,0,0,0
30-35,0,0,0.105051,0.216123,0.31134,0.375427,0.384,0.44,0.4,0.333333,0,0,0,0,0,0,0,0,0,0
35-40,0,0.00478469,0.0863931,0.169451,0.287719,0.3,0.4,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0
40-45,0,0,0.0537897,0.161677,0.2,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-50,0,0,0.044164,0.109091,0.171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-55,0,0,0.0248963,0.0521739,0.0454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-60,0,0,0.0060241,0.0188679,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0