New NM R-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0.0142857,0.129032,0.304,0.502762,0.684426,0.759582,0.72997,0.570978,0.433526,0.181538,0.0321429,0,0,0,0,0,0,0,0
5-10,0,0,0.139831,0.348018,0.546407,0.667031,0.688181,0.697447,0.581033,0.372294,0.204856,0.0282293,0,0,0,0,0,0,0,0
10-15,0,0.00823045,0.140998,0.31549,0.50547,0.651438,0.662151,0.622699,0.559497,0.380261,0.188226,0.0392243,0,0,0,0,0,0,0,0
15-20,0,0.00882353,0.135475,0.284985,0.446461,0.596141,0.579417,0.562574,0.496579,0.360926,0.201401,0.0558124,0,0,0,0,0,0,0,0
20-25,0,0.00411523,0.121296,0.26384,0.406577,0.510737,0.535542,0.490002,0.448245,0.322654,0.178003,0.0721717,0.00303556,0,0,0,0,0,0,0
25-30,0,0.00317965,0.0935397,0.230551,0.350784,0.438111,0.455419,0.414121,0.380976,0.282432,0.15771,0.0714016,0.014807,0,0,0,0,0,0,0
30-35,0,0.00120773,0.0905241,0.206506,0.29241,0.369869,0.380566,0.342387,0.311749,0.256146,0.163825,0.0698254,0.0192953,0.00127226,0,0,0,0,0,0
35-40,0,0,0.0721055,0.17082,0.24,0.292298,0.294303,0.273977,0.229333,0.20135,0.13359,0.0633981,0.0242057,0.00493827,0,0,0,0,0,0
40-45,0,0,0.0522496,0.135388,0.187218,0.225016,0.2194,0.191128,0.160209,0.113994,0.0892019,0.0358255,0.0179641,0.010989,0.00813008,0,0,0,0,0
45-50,0,0,0.0418462,0.100866,0.148837,0.156717,0.155011,0.135028,0.104129,0.0610119,0.0327869,0.0405405,0.0153846,0,0,0,0,0,0,0
50-55,0,0,0.0189586,0.0825376,0.106296,0.10547,0.0983106,0.0783187,0.0555217,0.0303907,0.0141343,0,0,0,0,0,0,0,0,0
55-60,0,0,0.00984252,0.0461345,0.0637658,0.0628137,0.0486462,0.0343443,0.0197152,0.0203488,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0.000232342,0.0224551,0.0330268,0.0337039,0.0229386,0.0150263,0.012987,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0.00467995,0.0117577,0.0103672,0.00772025,0.00559441,0.00561798,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0.000854701,0.00192678,0,0.00260417,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0